Customer_ID,Month,Occupation_cleaned,Annual_Income,Num_Bank_Accounts,Num_Credit_Inquiries,Num_of_Delayed_Payment_cleaned,Payment_Behaviour,Credit_Score_binary,ln_annual_income
CUS_0xd40,January,Scientist,19114.12,3,4.0,7.0,High_spent_Small_value_payments,0,9.858182607927167
CUS_0xd40,February,Scientist,19114.12,3,4.0,6.0,Low_spent_Large_value_payments,0,9.858182607927167
CUS_0xd40,March,Scientist,19114.12,3,4.0,7.0,Low_spent_Medium_value_payments,0,9.858182607927167
CUS_0xd40,April,Scientist,19114.12,3,4.0,4.0,Low_spent_Small_value_payments,0,9.858182607927167
CUS_0xd40,May,Scientist,19114.12,3,4.0,6.0,High_spent_Medium_value_payments,0,9.858182607927167
CUS_0xd40,June,Scientist,19114.12,3,4.0,4.0,Low_spent_Small_value_payments,0,9.858182607927167
CUS_0xd40,July,Scientist,19114.12,3,4.0,8.0,Low_spent_Small_value_payments,0,9.858182607927167
CUS_0xd40,August,Scientist,19114.12,3,4.0,6.0,High_spent_Medium_value_payments,0,9.858182607927167
CUS_0x21b1,January,Teacher,34847.84,2,2.0,4.0,Low_spent_Small_value_payments,0,10.45874643435392
CUS_0x21b1,February,Teacher,34847.84,2,2.0,1.0,High_spent_Large_value_payments,0,10.45874643435392
CUS_0x21b1,March,Teacher,34847.84,2,2.0,2.4285714285714284,High_spent_Large_value_payments,0,10.45874643435392
CUS_0x21b1,April,Teacher,34847.84,2,2.0,3.0,Low_spent_Medium_value_payments,0,10.45874643435392
CUS_0x21b1,May,Teacher,34847.84,2,2.0,1.0,Low_spent_Small_value_payments,0,10.45874643435392
CUS_0x21b1,June,Teacher,34847.84,2,2.0,0.0,High_spent_Large_value_payments,0,10.45874643435392
CUS_0x21b1,July,Teacher,34847.84,2,2.0,4.0,High_spent_Medium_value_payments,0,10.45874643435392
CUS_0x21b1,August,Teacher,34847.84,2,2.0,4.0,Low_spent_Small_value_payments,0,10.45874643435392
